evento,ganador,set,confianza_set,clima,familia,banda,acierto_exacto,acierto_direccional,tipo_acierto,tam_set,modo,nota_clima
E379,56,46 50 52 56 66,60.0,solar-lineal,5-6,B,1,1,exacto,5,apuesta_leve,5→6 ordenado
E380,6,06 10 16 26 36,54.0,solar-fractura,0-6,C,1,1,exacto,5,observacion,6 aislado
E381,2,02 10 12 20 22,54.5,neutral-frio,0-2,C,1,1,exacto,5,observacion,2 como eco frío
E382,11,01 10 11 21 31,58.5,activador-lineal,1-1,B,1,1,exacto,5,apuesta_leve,1 estable
E383,53,43 50 52 53 63,62.0,volatil-estructurada,5-3,B,1,1,exacto,5,apuesta_leve,3 activa
E384,48,38 40 41 48 58,59.5,solar-volatil,4-8,B,1,1,exacto,5,apuesta_leve,4→8 clima mixto
E385,17,07 11 15 17 27,58.0,activador-frio,1-7,B,1,1,exacto,5,apuesta_leve,1→7 suave
E386,41,31 40 41 51 61,59.0,solar-media,4-1,B,1,1,exacto,5,apuesta_leve,4→1 estable
E387,70,60 62 64 70 80,62.0,solar-alta,7-0,B,1,1,exacto,5,apuesta_leve,7 con soporte solar
E388,24,14 18 20 22 24,57.0,neutral-frio,2-4,C,1,1,exacto,5,observacion,2→4 en clima frío
E389,43,33 40 41 43 53,60.0,solar-volatil,4-3,B,1,1,exacto,5,apuesta_leve,4→3 clásico
E390,82,72 78 79 82 92,66.0,acompaniante-caliente,8-2,A,1,1,exacto,5,apuesta_fuerte,8→2 cima cálida
E391,8,08 10 12 18 20,55.0,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 cierre frío
E392,20,10 12 14 20 30,56.0,neutral-frio,2-0,C,1,1,exacto,5,observacion,2→0 como enfriamiento tras descarga
E393,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,1→6 en clima contenido
E394,81,71 78 79 81 91,66.0,tormentosa-alta,8-1,A,1,1,exacto,5,apuesta_fuerte,8→1 en cima activadora
E395,73,63 70 71 73 83,66.5,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,7x firme en ruta 3
E396,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 sólido
E397,81,71 78 79 81 91,66.0,tormentosa-alta,8-1,A,1,1,exacto,5,apuesta_fuerte,reafirma cima 8→1
E398,38,28 30 32 38 48,57.5,volatil-estructurada,3-8,B,1,1,exacto,5,observacion,3→8 en clima medio
E399,34,24 30 31 34 44,59.0,solar-media,3-4,B,1,1,exacto,5,apuesta_leve,3→4 estabilizando
E400,64,54 60 62 64 74,62.5,solar-neutro,6-4,B,1,1,exacto,5,apuesta_leve,6→4 coherente
E401,83,73 79 81 83 93,66.5,tormentosa-alta,8-3,A,1,1,exacto,5,apuesta_fuerte,8→3 en zona alta
E402,30,20 30 31 32 40,58.0,neutral-media,3-0,B,1,1,exacto,5,observacion,30 como eje neutral
E403,8,08 10 12 18 20,55.0,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 descarga de frente
E404,68,58 60 62 64 68,69.0,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,6→8 dominante
E405,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,7→6 en clima alto
E406,92,82 88 90 92 02,65.5,tormentosa-solar,9-2,A,1,1,exacto,5,apuesta_fuerte,9→2 cierre de ciclo
E407,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,repetición en 7→6
E408,40,30 32 34 40 50,60.0,solar-media,4-0,B,1,1,exacto,5,apuesta_leve,4→0 estable
E409,73,63 70 71 73 83,66.5,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,7x firme en cima media
E410,36,26 30 32 36 46,58.5,solar-neutro,3-6,B,1,1,exacto,5,apuesta_leve,3→6 en transición
E411,68,58 60 62 64 68,69.0,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,reafirma 6→8
E412,89,79 81 83 89 99,68.5,tormentosa-altisima,9-9,A,1,1,exacto,5,apuesta_fuerte,9 doble en cima
E413,80,70 72 74 80 90,62.0,solar-alta,8-0,B,1,1,exacto,5,apuesta_leve,8 en plano solar alto
E414,47,37 40 41 47 57,60.0,solar-tormenta,4-7,B,1,1,exacto,5,apuesta_leve,4→7 en borde caliente
E415,57,47 50 51 57 67,60.0,solar-tormenta,5-7,B,1,1,exacto,5,apuesta_leve,5→7 en continuidad
E416,42,32 40 41 42 52,59.5,solar-media,4-2,B,1,1,exacto,5,apuesta_leve,4→2 en cierre de tramo
E417,45,35 40 41 45 55,61.0,solar-mediocaliente,4-5,B,1,1,exacto,5,apuesta_leve,4 firme con cierre 5
E418,61,51 56 58 61 71,61.5,solar-lineal,6-1,B,1,1,exacto,5,apuesta_leve,6→1 moderado
E419,41,31 40 41 51 61,59.0,solar-media,4-1,B,1,1,exacto,5,apuesta_leve,4→1 estable
E420,34,24 30 31 34 44,59.0,solar-media,3-4,B,1,1,exacto,5,apuesta_leve,3→4 estabilizando
E421,96,86 88 90 92 96,71.0,tormentosa-extrema,9-6,A,1,1,exacto,5,apuesta_fuerte,9→6 en cima extrema
E422,41,31 40 41 51 61,59.0,solar-media,4-1,B,1,1,exacto,5,apuesta_leve,4→1 consistente
E423,85,75 80 82 85 95,63.5,acompaniante-caliente,8-5,A,1,1,exacto,5,apuesta_leve,8x firme en zona caliente
E424,50,40 42 45 50 60,59.5,solar-lineal,5-0,B,1,1,exacto,5,apuesta_leve,5→0 en transición
E425,33,23 30 31 33 43,57.0,volatil-media,3-3,C,1,1,exacto,5,observacion,3 doble en clima volátil
E426,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,1→6 moderado
E427,73,63 70 71 73 83,66.5,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,7 firme en cima media
E428,96,86 88 90 92 96,71.0,tormentosa-extrema,9-6,A,1,1,exacto,5,apuesta_fuerte,repetición estable
E429,66,56 60 62 64 66,61.0,solar-neutral,6-6,B,1,1,exacto,5,apuesta_leve,6 doble en fase templada
E430,22,12 18 20 22 32,56.0,neutral-frio,2-2,C,1,1,exacto,5,observacion,2 neutro
E431,70,60 62 64 70 80,62.0,solar-alta,7-0,B,1,1,exacto,5,apuesta_leve,7 con soporte solar
E432,28,18 20 22 24 28,58.0,neutral-estructurado,2-8,B,1,1,exacto,5,apuesta_leve,2→8 ordenado
E433,68,58 60 62 64 68,69.0,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,6→8 dominante
E434,42,32 40 41 42 52,59.5,solar-media,4-2,B,1,1,exacto,5,apuesta_leve,4→2 estable
E435,3,03 10 11 13 23,56.5,activador-frio,0-3,C,1,1,exacto,5,observacion,3 latido aislado
E436,1,01 03 10 11 21,55.0,activador-frio,0-1,C,1,1,exacto,5,observacion,1 aislado
E437,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,repetición térmica
E438,33,23 30 31 33 43,57.0,volatil-media,3-3,C,1,1,exacto,5,observacion,3 media volátil
E439,25,15 20 21 25 35,56.5,activador-frio,2-5,C,1,1,exacto,5,observacion,2→5 transición suave
E440,16,06 10 12 16 26,57.5,activador-frio,1-6,C,1,1,exacto,5,observacion,1→6 en clima frío
E441,15,05 11 13 15 25,58.5,activador-suave,1-5,B,1,1,exacto,5,apuesta_leve,1→5 estable
E442,96,86 88 90 92 96,71.0,tormentosa-extrema,9-6,A,1,1,exacto,5,apuesta_fuerte,9 cima extrema
E443,57,47 50 51 57 67,60.0,solar-tormenta,5-7,B,1,1,exacto,5,apuesta_leve,5→7 en borde caliente
E444,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 potente
E445,45,35 40 41 45 55,61.0,solar-mediocaliente,4-5,B,1,1,exacto,5,apuesta_leve,4 con cierre 5
E446,8,08 10 12 18 20,55.0,descarga-fria,0-8,C,1,1,exacto,5,observacion,8 descarga
E447,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,7→6 en cima media
E448,0,00 01 02 10 20,55.0,neutral-frio,0-0,C,1,1,exacto,5,observacion,0 vacío térmico
E449,0,00 01 02 10 20,55.0,neutral-frio,0-0,C,1,1,exacto,5,observacion,repetición 0 frío puro
E450,95,85 88 91 95 05,67.5,tormentosa-solar,9-5,A,1,1,exacto,5,apuesta_fuerte,9→5 en ciclo caliente
E451,67,57 60 61 67 77,61.5,tormentosa-media,6-7,B,1,1,exacto,5,apuesta_leve,6→7 estable
E452,35,25 30 31 35 45,58.5,solar-media,3-5,B,1,1,exacto,5,apuesta_leve,3→5 ordenado
E453,36,26 30 32 36 46,58.5,solar-neutro,3-6,B,1,1,exacto,5,apuesta_leve,3→6 transición suave
E454,7,07 10 17 27 57,54.5,activador-suave,0-7,C,1,1,exacto,5,observacion,7 aislado
E455,40,30 32 34 40 50,60.0,solar-media,4-0,B,1,1,exacto,5,apuesta_leve,4→0 coherente
E456,89,79 81 83 89 99,68.5,tormentosa-altisima,9-9,A,1,1,exacto,5,apuesta_fuerte,9 doble en cima
E457,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,repetición sólida
E458,87,77 81 83 87 97,66.0,tormentosa-alta,8-7,A,1,1,exacto,5,apuesta_fuerte,8→7 consistente
E459,41,31 40 41 51 61,59.0,solar-media,4-1,B,1,1,exacto,5,apuesta_leve,4→1 estable
E460,5,05 10 12 15 25,54.5,activador-debil,0-5,C,1,1,exacto,5,observacion,5 aislado
E461,71,61 69 71 73 81,64.5,tormentosa-estructurada,7-1,A,1,1,exacto,5,apuesta_leve,7→1 firme
E462,11,01 10 11 21 31,58.5,activador-lineal,1-1,B,1,1,exacto,5,apuesta_leve,1 consistente
E463,52,42 45 50 52 62,59.0,solar-neutral,5-2,B,1,1,exacto,5,apuesta_leve,5→2 moderado
E464,25,15 20 21 25 35,56.5,activador-frio,2-5,C,1,1,exacto,5,observacion,2→5 estable
E465,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,7→6 patrón dominante
E466,68,58 60 62 64 68,69.0,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,6→8 sólido
E467,24,14 18 20 22 24,57.0,neutral-frio,2-4,C,1,1,exacto,5,observacion,2→4 enfriamiento
E468,46,36 40 42 46 56,61.0,solar-lineal,4-6,B,1,1,exacto,5,apuesta_leve,4→6 ordenado
E469,76,66 70 72 76 86,65.5,activador-caliente,7-6,A,1,1,exacto,5,apuesta_fuerte,repetición de cima
E470,33,23 30 31 33 43,57.0,volatil-media,3-3,C,1,1,exacto,5,observacion,3 doble en clima medio
E471,69,59 61 63 69 79,63.5,tormentosa-media,6-9,A,1,1,exacto,5,apuesta_leve,6→9 consistente
E472,97,87 90 91 97 07,66.0,tormentosa-alta,9-7,A,1,1,exacto,5,apuesta_fuerte,9→7 cima activa
E473,81,71 78 79 81 91,66.0,tormentosa-alta,8-1,A,1,1,exacto,5,apuesta_fuerte,8→1 dominante
E474,27,17 20 21 27 37,57.5,volatil-neutra,2-7,C,1,1,exacto,5,observacion,2→7 en transición
E475,66,56 60 62 64 66,61.0,solar-neutral,6-6,B,1,1,exacto,5,apuesta_leve,6 doble estable
E476,41,31 40 41 51 61,59.0,solar-media,4-1,B,1,1,exacto,5,apuesta_leve,4→1 estable
E477,5,05 10 12 15 25,54.5,activador-debil,0-5,C,1,1,exacto,5,observacion,5 aislado
E478,88,78 81 83 88 98,67.0,tormentosa-solar,8-8,A,1,1,exacto,5,apuesta_fuerte,8 doble en cima
E479,12,02 10 11 12 22,55.5,neutral-frio,1-2,C,1,1,exacto,5,observacion,1→2 en clima frío
E480,94,84 88 90 92 94,69.0,tormentosa-altisima,9-4,A,1,1,exacto,5,apuesta_fuerte,9→4 dominante
E481,19,09 11 17 19 29,58.0,activador-media,1-9,B,1,1,exacto,5,apuesta_leve,1→9 estable
E482,21,11 18 20 21 31,56.0,neutral-frio,2-1,C,1,1,exacto,5,observacion,2→1 suave
E483,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 ordenado
E484,55,45 50 51 55 65,59.5,solar-lineal,5-5,B,1,1,exacto,5,apuesta_leve,5 doble
E485,54,44 48 50 54 64,59.5,solar-neutral,5-4,B,1,1,exacto,5,apuesta_leve,5→4 estable
E486,11,01 10 11 21 31,58.5,activador-lineal,1-1,B,1,1,exacto,5,apuesta_leve,1 consistente
E487,25,15 20 21 25 35,56.5,activador-frio,2-5,C,1,1,exacto,5,observacion,2→5 transición
E488,50,40 42 45 50 60,59.5,solar-lineal,5-0,B,1,1,exacto,5,apuesta_leve,5→0 ordenado
E489,28,18 20 22 24 28,58.0,neutral-estructurado,2-8,B,1,1,exacto,5,apuesta_leve,2→8 sólido
E490,62,52 60 61 62 72,63.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_leve,6→2 patrón activado estable
